variant,P,B,sync_freq,rep,t_par_s,tests_total,rank_found
baseline,4,,,1,0.031466,51736,1
baseline,4,,,2,0.023317,57051,0
baseline,4,,,3,0.019585,49414,1
baseline,4,,,4,0.019642,48442,1
baseline,4,,,5,0.018514,51524,1
baseline,8,,,1,0.032537,53752,0
baseline,8,,,2,0.023879,55471,1
baseline,8,,,3,0.030867,52688,0
baseline,8,,,4,0.033789,49103,1
baseline,8,,,5,0.024848,55741,1
optimized,4,20000,4,1,0.144354,257921,2
optimized,4,20000,4,2,0.132484,257921,2
optimized,4,20000,4,3,0.135656,257921,2
optimized,4,20000,4,4,0.158821,257921,2
optimized,4,20000,4,5,0.154214,257921,2
optimized,4,20000,8,1,0.316715,497921,2
optimized,4,20000,8,2,0.307682,497921,2
optimized,4,20000,8,3,0.445174,497921,2
optimized,4,20000,8,4,0.346034,497921,2
optimized,4,20000,8,5,0.299338,497921,2
optimized,4,50000,4,1,0.380956,431378,2
optimized,4,50000,4,2,0.397845,431378,2
optimized,4,50000,4,3,0.371233,431378,2
optimized,4,50000,4,4,0.401856,431378,2
optimized,4,50000,4,5,0.357852,431378,2
optimized,4,50000,8,1,0.768657,831378,2
optimized,4,50000,8,2,0.783236,831378,2
optimized,4,50000,8,3,0.717970,831378,2
optimized,4,50000,8,4,0.707023,831378,2
optimized,4,50000,8,5,0.756092,831378,2
optimized,8,20000,4,1,0.302542,501378,6
optimized,8,20000,4,2,0.234850,501378,6
optimized,8,20000,4,3,0.226719,501378,6
optimized,8,20000,4,4,0.224014,501378,6
optimized,8,20000,4,5,0.231843,501378,6
optimized,8,20000,8,1,0.605880,981378,6
optimized,8,20000,8,2,0.463861,981378,6
optimized,8,20000,8,3,0.522637,981378,6
optimized,8,20000,8,4,0.532386,981378,6
optimized,8,20000,8,5,0.568031,981378,6
optimized,8,50000,4,1,0.633212,1231378,2
optimized,8,50000,4,2,0.606473,1231378,2
optimized,8,50000,4,3,0.621693,1231378,2
optimized,8,50000,4,4,0.938476,1231378,2
optimized,8,50000,4,5,0.710444,1231378,2
optimized,8,50000,8,1,1.256037,2431378,2
optimized,8,50000,8,2,1.516699,2431378,2
optimized,8,50000,8,3,1.263437,2431378,2
optimized,8,50000,8,4,1.266944,2431378,2
optimized,8,50000,8,5,1.494515,2431378,2
