mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache, , , , ,easy,1048577,8,adaptive_opt_T1.2,1.2,0.087942,0.068244,1.288641,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.2_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T1.2,1.2,0.079031,0.058899,1.341805,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.2_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T1.2,1.2,0.081369,0.066300,1.227285,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.2_med_round1.log
with_cache, , , , ,easy,1048577,8,adaptive_opt_T1.5,1.5,0.087942,0.058974,1.491200,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.5_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T1.5,1.5,0.079031,0.089360,0.884411,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.5_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T1.5,1.5,0.081369,0.084307,0.965151,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T1.5_med_round1.log
with_cache, , , , ,easy,1048577,8,adaptive_opt_T2.0,2.0,0.087942,0.082211,1.069711,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T2.0_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T2.0,2.0,0.079031,0.073647,1.073105,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T2.0_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T2.0,2.0,0.081369,0.085063,0.956573,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/adaptive_opt_T2.0_med_round1.log
with_cache, , , , ,easy,1048577,8,cyclic_opt,,0.087942,0.029762,2.954842,0,43727,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/cyclic_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,cyclic_opt,,0.079031,0.052460,1.506500,1,56400,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/cyclic_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,cyclic_opt,,0.081369,0.048944,1.662492,1,54396,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/cyclic_opt_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B100000,100000,0.087942,0.493081,0.178352,1,557465,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B100000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B100000,100000,0.079031,0.504678,0.156597,3,531493,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B100000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B100000,100000,0.081369,0.463460,0.175569,2,533948,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B100000_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B20000,20000,0.087942,0.096205,0.914110,7,99869,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B20000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B20000,20000,0.079031,0.130609,0.605096,7,98970,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B20000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B20000,20000,0.081369,0.095654,0.850660,3,115352,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B20000_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B50000,50000,0.087942,0.240483,0.365689,3,238389,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B50000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B50000,50000,0.079031,0.233638,0.338263,4,246630,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B50000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B50000,50000,0.081369,0.267226,0.304495,3,270767,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/dynamic_opt_B50000_med_round1.log
with_cache, , , , ,easy,1048577,8,naive_opt,,0.087942,0.265642,0.331055,0,433259,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/naive_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,naive_opt,,0.079031,0.273711,0.288739,0,451937,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/naive_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,naive_opt,,0.081369,0.309879,0.262583,0,477553,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/naive_opt_med_round1.log
with_cache, , , , ,easy,1048577,8,permuted_opt,,0.087942,0.171323,0.513311,4,264612,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/permuted_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,permuted_opt,,0.079031,0.483979,0.163294,0,1120873,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/permuted_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,permuted_opt,,0.081369,0.347399,0.234223,4,753220,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162947/logs/permuted_opt_med_round1.log
