P,category,variant,config_id,param_spec,rep,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
4,easy,cyclic,default,,1,0.067478,0.022392,3.013486,.753371,1,52452,artifacts/round2-20251028_221420/logs/cyclic_P4_easy_rep1.log
4,easy,cyclic,default,,2,0.067478,0.022666,2.977058,.744264,0,54352,artifacts/round2-20251028_221420/logs/cyclic_P4_easy_rep2.log
4,easy,cyclic,default,,3,0.067478,0.025421,2.654419,.663604,1,56326,artifacts/round2-20251028_221420/logs/cyclic_P4_easy_rep3.log
4,easy,cyclic,default,,4,0.067478,0.019147,3.524207,.881051,0,50465,artifacts/round2-20251028_221420/logs/cyclic_P4_easy_rep4.log
4,easy,cyclic,default,,5,0.067478,0.028962,2.329880,.582470,0,71615,artifacts/round2-20251028_221420/logs/cyclic_P4_easy_rep5.log
4,med,cyclic,default,,1,0.071673,0.021074,3.401015,.850253,0,55045,artifacts/round2-20251028_221420/logs/cyclic_P4_med_rep1.log
4,med,cyclic,default,,2,0.071673,0.018454,3.883873,.970968,0,45599,artifacts/round2-20251028_221420/logs/cyclic_P4_med_rep2.log
4,med,cyclic,default,,3,0.071673,0.035713,2.006916,.501729,1,56368,artifacts/round2-20251028_221420/logs/cyclic_P4_med_rep3.log
4,med,cyclic,default,,4,0.071673,0.019392,3.696008,.924002,1,45037,artifacts/round2-20251028_221420/logs/cyclic_P4_med_rep4.log
4,med,cyclic,default,,5,0.071673,0.027313,2.624135,.656033,0,59984,artifacts/round2-20251028_221420/logs/cyclic_P4_med_rep5.log
4,hard,cyclic,default,,1,0.072513,0.027091,2.676645,.669161,1,49905,artifacts/round2-20251028_221420/logs/cyclic_P4_hard_rep1.log
4,hard,cyclic,default,,2,0.072513,0.026564,2.729747,.682436,0,53731,artifacts/round2-20251028_221420/logs/cyclic_P4_hard_rep2.log
4,hard,cyclic,default,,3,0.072513,0.019035,3.809456,.952364,0,49072,artifacts/round2-20251028_221420/logs/cyclic_P4_hard_rep3.log
4,hard,cyclic,default,,4,0.072513,0.022700,3.194405,.798601,1,54953,artifacts/round2-20251028_221420/logs/cyclic_P4_hard_rep4.log
4,hard,cyclic,default,,5,0.072513,0.025338,2.861828,.715457,1,64107,artifacts/round2-20251028_221420/logs/cyclic_P4_hard_rep5.log
4,easy,adaptive,default,,1,0.067478,0.037688,1.790437,.447609,3,57921,artifacts/round2-20251028_221420/logs/adaptive_P4_easy_rep1.log
4,easy,adaptive,default,,2,0.067478,0.037149,1.816414,.454103,3,57921,artifacts/round2-20251028_221420/logs/adaptive_P4_easy_rep2.log
4,easy,adaptive,default,,3,0.067478,0.052437,1.286839,.321709,3,74192,artifacts/round2-20251028_221420/logs/adaptive_P4_easy_rep3.log
4,easy,adaptive,default,,4,0.067478,0.036508,1.848307,.462076,3,57921,artifacts/round2-20251028_221420/logs/adaptive_P4_easy_rep4.log
