variant,P,rep,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total
adaptive,16,1,0.072040,0.127252,.566120,.035382,,281378
adaptive,16,2,0.072040,0.171198,.420799,.026299,,283378
adaptive,16,3,0.072040,0.159954,.450379,.028148,,281378
adaptive,4,1,0.072040,0.030380,2.371296,.592824,,57921
adaptive,4,2,0.072040,0.034836,2.067975,.516993,,57921
adaptive,4,3,0.072040,0.034386,2.095038,.523759,,57921
adaptive,8,1,0.072040,0.050400,1.429365,.178670,,121378
adaptive,8,2,0.072040,0.044294,1.626405,.203300,,121378
adaptive,8,3,0.072040,0.059582,1.209089,.151136,,121378
cyclic,16,1,0.072040,0.050734,1.419955,.088747,,63611
cyclic,16,2,0.072040,0.016572,4.347091,.271693,,17579
cyclic,16,3,0.072040,0.016044,4.490152,.280634,,15945
cyclic,4,1,0.072040,0.019537,3.687362,.921840,,59033
cyclic,4,2,0.072040,0.022962,3.137357,.784339,,51741
cyclic,4,3,0.072040,0.018598,3.873534,.968383,,50429
cyclic,8,1,0.072040,0.018437,3.907360,.488420,,41126
cyclic,8,2,0.072040,0.024777,2.907535,.363441,,45602
cyclic,8,3,0.072040,0.026498,2.718695,.339836,,48314
