mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache,22,4194304,0,4194304,easy,2097153,4,naive,,1.277432,0.002432,525.259868,2,106,/home/and/PY2-Paralela/logs/naive_b22_easy_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,4,cyclic,,1.277432,0.333409,3.831426,1,2084301,/home/and/PY2-Paralela/logs/cyclic_b22_easy_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,4,dynamic,20000,1.277432,0.469467,2.721026,2,2131733,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,4,dynamic,50000,1.277432,0.497898,2.565650,3,2159853,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B50000_with_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,4,naive,,1.348305,0.001665,809.792793,2,15,/home/and/PY2-Paralela/logs/naive_b22_easy_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,4,cyclic,,1.348305,0.334347,4.032652,1,2089934,/home/and/PY2-Paralela/logs/cyclic_b22_easy_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,4,dynamic,20000,1.348305,0.485696,2.776027,2,2132516,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,4,dynamic,50000,1.348305,0.787594,1.711929,1,2159844,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B50000_no_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,4,naive,,2.335534,0.710574,3.286827,2,2116346,/home/and/PY2-Paralela/logs/naive_b22_med_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,4,cyclic,,2.335534,0.694989,3.360534,1,2633640,/home/and/PY2-Paralela/logs/cyclic_b22_med_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,4,dynamic,20000,2.335534,0.997720,2.340871,2,2607621,/home/and/PY2-Paralela/logs/dynamic_b22_med_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,4,dynamic,50000,2.335534,1.002970,2.328618,3,2658420,/home/and/PY2-Paralela/logs/dynamic_b22_med_B50000_with_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,4,naive,,1.945150,0.492995,3.945578,2,2089847,/home/and/PY2-Paralela/logs/naive_b22_med_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,4,cyclic,,1.945150,0.651912,2.983762,0,2616893,/home/and/PY2-Paralela/logs/cyclic_b22_med_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,4,dynamic,20000,1.945150,0.935240,2.079840,3,2618228,/home/and/PY2-Paralela/logs/dynamic_b22_med_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,4,dynamic,50000,1.945150,1.067462,1.822219,1,2658421,/home/and/PY2-Paralela/logs/dynamic_b22_med_B50000_no_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,4,naive,,0.729162,1.047452,0.696129,0,3679013,/home/and/PY2-Paralela/logs/naive_b22_hard_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,4,cyclic,,0.729162,0.193958,3.759381,3,917428,/home/and/PY2-Paralela/logs/cyclic_b22_hard_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,4,dynamic,20000,0.729162,0.488871,1.491522,1,920713,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,4,dynamic,50000,0.729162,0.417964,1.744557,1,1009210,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B50000_with_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,4,naive,,0.850118,1.051384,0.808570,0,3664781,/home/and/PY2-Paralela/logs/naive_b22_hard_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,4,cyclic,,0.850118,0.225668,3.767118,2,915143,/home/and/PY2-Paralela/logs/cyclic_b22_hard_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,4,dynamic,20000,0.850118,0.413477,2.056022,3,912973,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,4,dynamic,50000,0.850118,0.435962,1.949982,1,1009193,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B50000_no_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,4,naive,,3.256319,0.002286,1424.461505,2,67,/home/and/PY2-Paralela/logs/naive_b23_easy_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,4,cyclic,,3.256319,1.024205,3.179363,1,4182544,/home/and/PY2-Paralela/logs/cyclic_b23_easy_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,4,dynamic,20000,3.256319,2.034252,1.600745,2,4200965,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B20000_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,4,dynamic,50000,3.256319,2.163108,1.505389,3,4254149,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B50000_with_cache.txt
no_cache,23,8388608,0,8388608,easy,4194305,4,naive,,4.187557,0.001356,3088.168879,2,42,/home/and/PY2-Paralela/logs/naive_b23_easy_no_cache.txt
no_cache,23,8388608,0,8388608,easy,4194305,4,cyclic,,4.187557,1.490632,2.809249,0,4181200,/home/and/PY2-Paralela/logs/cyclic_b23_easy_no_cache.txt
no_cache,23,8388608,0,8388608,easy,4194305,4,dynamic,20000,4.187557,2.050638,2.042075,3,4202972,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B20000_no_cache.txt
no_cache,23,8388608,0,8388608,easy,4194305,4,dynamic,50000,4.187557,2.018774,2.074307,3,4229637,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B50000_no_cache.txt
with_cache,23,8388608,0,8388608,med,5242880,4,naive,,5.035650,1.497875,3.361863,2,4148969,/home/and/PY2-Paralela/logs/naive_b23_med_with_cache.txt
with_cache,23,8388608,0,8388608,med,5242880,4,cyclic,,5.035650,1.782700,2.824732,0,5194722,/home/and/PY2-Paralela/logs/cyclic_b23_med_with_cache.txt
with_cache,23,8388608,0,8388608,med,5242880,4,dynamic,20000,5.035650,2.686507,1.874423,3,5257955,/home/and/PY2-Paralela/logs/dynamic_b23_med_B20000_with_cache.txt
with_cache,23,8388608,0,8388608,med,5242880,4,dynamic,50000,5.035650,2.529604,1.990687,1,5301301,/home/and/PY2-Paralela/logs/dynamic_b23_med_B50000_with_cache.txt
no_cache,23,8388608,0,8388608,med,5242880,4,naive,,4.557445,1.304613,3.493331,2,4135423,/home/and/PY2-Paralela/logs/naive_b23_med_no_cache.txt
no_cache,23,8388608,0,8388608,med,5242880,4,cyclic,,4.557445,1.578449,2.887293,0,5197696,/home/and/PY2-Paralela/logs/cyclic_b23_med_no_cache.txt
no_cache,23,8388608,0,8388608,med,5242880,4,dynamic,20000,4.557445,2.256643,2.019568,2,5250522,/home/and/PY2-Paralela/logs/dynamic_b23_med_B20000_no_cache.txt
no_cache,23,8388608,0,8388608,med,5242880,4,dynamic,50000,4.557445,2.334298,1.952384,2,5274119,/home/and/PY2-Paralela/logs/dynamic_b23_med_B50000_no_cache.txt
with_cache,23,8388608,0,8388608,hard,1843651,4,naive,,1.564248,2.215438,0.706067,0,7451675,/home/and/PY2-Paralela/logs/naive_b23_hard_with_cache.txt
with_cache,23,8388608,0,8388608,hard,1843651,4,cyclic,,1.564248,0.492508,3.176086,3,1836982,/home/and/PY2-Paralela/logs/cyclic_b23_hard_with_cache.txt
with_cache,23,8388608,0,8388608,hard,1843651,4,dynamic,20000,1.564248,0.894629,1.748488,3,1839649,/home/and/PY2-Paralela/logs/dynamic_b23_hard_B20000_with_cache.txt
with_cache,23,8388608,0,8388608,hard,1843651,4,dynamic,50000,1.564248,0.974596,1.605022,2,1902328,/home/and/PY2-Paralela/logs/dynamic_b23_hard_B50000_with_cache.txt
no_cache,23,8388608,0,8388608,hard,1843651,4,naive,,1.969838,2.935583,0.671021,0,7253286,/home/and/PY2-Paralela/logs/naive_b23_hard_no_cache.txt
no_cache,23,8388608,0,8388608,hard,1843651,4,cyclic,,1.969838,0.744824,2.644703,3,1772911,/home/and/PY2-Paralela/logs/cyclic_b23_hard_no_cache.txt
no_cache,23,8388608,0,8388608,hard,1843651,4,dynamic,20000,1.969838,0.947124,2.079810,1,1834683,/home/and/PY2-Paralela/logs/dynamic_b23_hard_B20000_no_cache.txt
no_cache,23,8388608,0,8388608,hard,1843651,4,dynamic,50000,1.969838,0.935346,2.105999,3,1902329,/home/and/PY2-Paralela/logs/dynamic_b23_hard_B50000_no_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,naive,,7.898538,0.001582,4992.754741,2,6,/home/and/PY2-Paralela/logs/naive_b24_easy_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,cyclic,,7.898538,2.715722,2.908449,0,8389399,/home/and/PY2-Paralela/logs/cyclic_b24_easy_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,20000,7.898538,4.643292,1.701064,2,8382002,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B20000_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,50000,7.898538,3.808661,2.073836,2,8442756,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B50000_with_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,naive,,7.204881,0.001447,4979.185211,2,13,/home/and/PY2-Paralela/logs/naive_b24_easy_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,cyclic,,7.204881,2.596216,2.775147,1,8346701,/home/and/PY2-Paralela/logs/cyclic_b24_easy_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,20000,7.204881,3.923132,1.836513,1,8383858,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B20000_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,50000,7.204881,3.801891,1.895078,1,8442758,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B50000_no_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,naive,,8.949331,2.665397,3.357598,2,8571997,/home/and/PY2-Paralela/logs/naive_b24_med_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,cyclic,,8.949331,3.304205,2.708467,0,10369613,/home/and/PY2-Paralela/logs/cyclic_b24_med_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,dynamic,20000,8.949331,4.760815,1.879790,3,10492155,/home/and/PY2-Paralela/logs/dynamic_b24_med_B20000_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,dynamic,50000,8.949331,4.672308,1.915398,2,10537060,/home/and/PY2-Paralela/logs/dynamic_b24_med_B50000_with_cache.txt
