mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache,21,2097152,0,2097152,easy,1048577,8,naive,,0.893794,0.001043,856.945350,4,491,/home/and/PY2-Paralela/logs/naive_b21_easy_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,cyclic,,0.893794,0.165919,5.386930,1,1031801,/home/and/PY2-Paralela/logs/cyclic_b21_easy_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=20000,0.893794,0.214292,4.170916,2,1044162,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B20000_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=50000,0.893794,0.321569,2.779478,2,1280578,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B50000_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=100000,0.893794,0.168140,5.315773,3,807725,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B100000_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=10,0.893794,0.203144,4.399805,1,1048577,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T10_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=30,0.893794,0.236682,3.776350,1,1066460,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T30_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=50,0.893794,0.279204,3.201222,2,1101358,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T50_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=12345,0.893794,0.006746,132.492440,0,55838,/home/and/PY2-Paralela/logs/permuted_b21_easy_R12345_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=54321,0.893794,0.024003,37.236762,5,206750,/home/and/PY2-Paralela/logs/permuted_b21_easy_R54321_with_cache.txt
with_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=2025,0.893794,0.020139,44.381250,5,106629,/home/and/PY2-Paralela/logs/permuted_b21_easy_R2025_with_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,naive,,0.993898,0.002080,477.835577,4,103,/home/and/PY2-Paralela/logs/naive_b21_easy_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,cyclic,,0.993898,0.161198,6.165697,1,1030240,/home/and/PY2-Paralela/logs/cyclic_b21_easy_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=20000,0.993898,0.192379,5.166354,5,1051484,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B20000_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=50000,0.993898,0.309883,3.207333,7,1132878,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B50000_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic,B=100000,0.993898,0.320673,3.099413,7,1195931,/home/and/PY2-Paralela/logs/dynamic_b21_easy_B100000_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=10,0.993898,0.228872,4.342593,2,1083134,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T10_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=30,0.993898,0.285965,3.475593,2,1102064,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T30_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,dynamic_adaptive,T=50,0.993898,0.273305,3.636589,1,1151782,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_easy_T50_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=12345,0.993898,0.016792,59.188780,0,72222,/home/and/PY2-Paralela/logs/permuted_b21_easy_R12345_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=54321,0.993898,0.051045,19.471016,4,275728,/home/and/PY2-Paralela/logs/permuted_b21_easy_R54321_no_cache.txt
no_cache,21,2097152,0,2097152,easy,1048577,8,permuted,R=2025,0.993898,0.016873,58.904641,5,110725,/home/and/PY2-Paralela/logs/permuted_b21_easy_R2025_no_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,naive,,1.313747,0.004342,302.567250,5,30,/home/and/PY2-Paralela/logs/naive_b21_med_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,cyclic,,1.313747,0.328948,3.993783,0,1283620,/home/and/PY2-Paralela/logs/cyclic_b21_med_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=20000,1.313747,0.399970,3.284614,6,1335367,/home/and/PY2-Paralela/logs/dynamic_b21_med_B20000_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=50000,1.313747,0.294520,4.460638,7,1287259,/home/and/PY2-Paralela/logs/dynamic_b21_med_B50000_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=100000,1.313747,0.306966,4.279780,1,1257714,/home/and/PY2-Paralela/logs/dynamic_b21_med_B100000_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=10,1.313747,0.321266,4.089281,2,1310721,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T10_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=30,1.313747,0.282198,4.655409,6,1363544,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T30_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=50,1.313747,0.308904,4.252930,3,1310721,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T50_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=12345,1.313747,0.038845,33.820234,4,160589,/home/and/PY2-Paralela/logs/permuted_b21_med_R12345_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=54321,1.313747,0.014144,92.883696,4,53778,/home/and/PY2-Paralela/logs/permuted_b21_med_R54321_with_cache.txt
with_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=2025,1.313747,0.010062,130.565196,0,59792,/home/and/PY2-Paralela/logs/permuted_b21_med_R2025_with_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,naive,,2.030138,0.003982,509.828729,5,3928,/home/and/PY2-Paralela/logs/naive_b21_med_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,cyclic,,2.030138,0.344285,5.896679,1,1260657,/home/and/PY2-Paralela/logs/cyclic_b21_med_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=20000,2.030138,0.330721,6.138522,1,1326905,/home/and/PY2-Paralela/logs/dynamic_b21_med_B20000_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=50000,2.030138,0.366539,5.538668,3,1301846,/home/and/PY2-Paralela/logs/dynamic_b21_med_B50000_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic,B=100000,2.030138,0.384299,5.282704,6,1282793,/home/and/PY2-Paralela/logs/dynamic_b21_med_B100000_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=10,2.030138,0.248139,8.181455,4,1334903,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T10_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=30,2.030138,0.436374,4.652289,5,1344918,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T30_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,dynamic_adaptive,T=50,2.030138,0.285599,7.108351,1,1310721,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_med_T50_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=12345,2.030138,0.026849,75.613170,4,148301,/home/and/PY2-Paralela/logs/permuted_b21_med_R12345_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=54321,2.030138,0.013215,153.623761,4,53778,/home/and/PY2-Paralela/logs/permuted_b21_med_R54321_no_cache.txt
no_cache,21,2097152,0,2097152,med,1310720,8,permuted,R=2025,2.030138,0.008979,226.098452,0,31120,/home/and/PY2-Paralela/logs/permuted_b21_med_R2025_no_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,naive,,0.362514,0.192946,1.878837,1,1077733,/home/and/PY2-Paralela/logs/naive_b21_hard_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,cyclic,,0.362514,0.057467,6.308212,3,407169,/home/and/PY2-Paralela/logs/cyclic_b21_hard_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=20000,0.362514,0.092257,3.929393,4,399738,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B20000_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=50000,0.362514,0.105362,3.440652,1,386602,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B50000_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=100000,0.362514,0.121499,2.983679,3,607467,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B100000_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=10,0.362514,0.074573,4.861196,5,395379,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T10_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=30,0.362514,0.069127,5.244174,5,430918,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T30_with_cache.txt
