mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache, , , , ,easy,10000000,8,adaptive_opt_T1.2,1.2,0.084896,0.049823,1.703952,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.2_easy_round1.log
with_cache, , , , ,hard,10000000,8,adaptive_opt_T1.2,1.2,0.083352,0.049762,1.675013,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.2_hard_round1.log
with_cache, , , , ,med,10000000,8,adaptive_opt_T1.2,1.2,0.106946,0.061535,1.737970,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.2_med_round1.log
with_cache, , , , ,easy,10000000,8,adaptive_opt_T1.5,1.5,0.084896,0.057768,1.469603,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.5_easy_round1.log
with_cache, , , , ,hard,10000000,8,adaptive_opt_T1.5,1.5,0.083352,0.054094,1.540873,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.5_hard_round1.log
with_cache, , , , ,med,10000000,8,adaptive_opt_T1.5,1.5,0.106946,0.053185,2.010830,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T1.5_med_round1.log
with_cache, , , , ,easy,10000000,8,adaptive_opt_T2.0,2.0,0.084896,0.053208,1.595550,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T2.0_easy_round1.log
with_cache, , , , ,hard,10000000,8,adaptive_opt_T2.0,2.0,0.083352,0.050585,1.647761,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T2.0_hard_round1.log
with_cache, , , , ,med,10000000,8,adaptive_opt_T2.0,2.0,0.106946,0.052280,2.045639,7,121378,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/adaptive_opt_T2.0_med_round1.log
with_cache, , , , ,easy,10000000,8,cyclic_opt,,0.084896,0.023583,3.599881,1,56083,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/cyclic_opt_easy_round1.log
with_cache, , , , ,hard,10000000,8,cyclic_opt,,0.083352,0.030222,2.757991,1,51003,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/cyclic_opt_hard_round1.log
with_cache, , , , ,med,10000000,8,cyclic_opt,,0.106946,0.025493,4.195112,1,46358,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/cyclic_opt_med_round1.log
with_cache, , , , ,easy,10000000,8,dynamic_opt_B100000,100000,0.084896,0.388072,0.218764,1,573316,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/dynamic_opt_B100000_easy_round1.log
with_cache, , , , ,hard,10000000,8,dynamic_opt_B100000,100000,0.083352,0.384005,0.217060,1,568678,/home/rodri/PY2-Paralela/artifacts/round1-20251028_195127/logs/dynamic_opt_B100000_hard_round1.log
