category,variant,config_id,param_spec,rep,P,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
easy,cyclic,base,,1,4,0.069152,0.023051,2.999956,.749989,0,58950,artifacts/round1b-20251028_221003/logs/cyclic_base_easy_rep1.log
easy,cyclic,base,,2,4,0.069152,0.021908,3.156472,.789118,1,46904,artifacts/round1b-20251028_221003/logs/cyclic_base_easy_rep2.log
easy,cyclic,base,,3,4,0.069152,0.022323,3.097791,.774447,0,47852,artifacts/round1b-20251028_221003/logs/cyclic_base_easy_rep3.log
med,cyclic,base,,1,4,0.068887,0.022562,3.053231,.763307,1,47182,artifacts/round1b-20251028_221003/logs/cyclic_base_med_rep1.log
med,cyclic,base,,2,4,0.068887,0.019526,3.527962,.881990,1,57996,artifacts/round1b-20251028_221003/logs/cyclic_base_med_rep2.log
med,cyclic,base,,3,4,0.068887,0.023782,2.896602,.724150,1,60187,artifacts/round1b-20251028_221003/logs/cyclic_base_med_rep3.log
hard,cyclic,base,,1,4,0.068774,0.018963,3.626746,.906686,1,43808,artifacts/round1b-20251028_221003/logs/cyclic_base_hard_rep1.log
hard,cyclic,base,,2,4,0.068774,0.025611,2.685330,.671332,0,47594,artifacts/round1b-20251028_221003/logs/cyclic_base_hard_rep2.log
hard,cyclic,base,,3,4,0.068774,0.024931,2.758573,.689643,0,49682,artifacts/round1b-20251028_221003/logs/cyclic_base_hard_rep3.log
easy,adaptive,T1.0,-T 1.0,1,4,0.069152,0.040078,1.725435,.431358,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.0_easy_rep1.log
easy,adaptive,T1.0,-T 1.0,2,4,0.069152,0.034449,2.007373,.501843,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T1.0_easy_rep2.log
easy,adaptive,T1.0,-T 1.0,3,4,0.069152,0.025667,2.694198,.673549,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.0_easy_rep3.log
med,adaptive,T1.0,-T 1.0,1,4,0.068887,0.035233,1.955184,.488796,3,71921,artifacts/round1b-20251028_221003/logs/adaptive_T1.0_med_rep1.log
med,adaptive,T1.0,-T 1.0,2,4,0.068887,0.038324,1.797489,.449372,3,67921,artifacts/round1b-20251028_221003/logs/adaptive_T1.0_med_rep2.log
