P,category,variant,config_id,param_spec,rep,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
4,easy,cyclic,default,,1,0.071686,0.025850,2.773152,.693288,1,62397,artifacts/round2-20251028_221232/logs/cyclic_P4_easy_rep1.log
4,easy,cyclic,default,,2,0.071686,0.021821,3.285183,.821295,0,49999,artifacts/round2-20251028_221232/logs/cyclic_P4_easy_rep2.log
4,easy,cyclic,default,,3,0.071686,0.026347,2.720841,.680210,1,45744,artifacts/round2-20251028_221232/logs/cyclic_P4_easy_rep3.log
4,easy,cyclic,default,,4,0.071686,0.020089,3.568420,.892105,0,57576,artifacts/round2-20251028_221232/logs/cyclic_P4_easy_rep4.log
4,easy,cyclic,default,,5,0.071686,0.019214,3.730925,.932731,0,44342,artifacts/round2-20251028_221232/logs/cyclic_P4_easy_rep5.log
4,med,cyclic,default,,1,0.075455,0.023774,3.173845,.793461,0,53470,artifacts/round2-20251028_221232/logs/cyclic_P4_med_rep1.log
4,med,cyclic,default,,2,0.075455,0.022532,3.348792,.837198,1,53038,artifacts/round2-20251028_221232/logs/cyclic_P4_med_rep2.log
4,med,cyclic,default,,3,0.075455,0.033864,2.228177,.557044,0,60323,artifacts/round2-20251028_221232/logs/cyclic_P4_med_rep3.log
4,med,cyclic,default,,4,0.075455,0.019642,3.841513,.960378,1,50266,artifacts/round2-20251028_221232/logs/cyclic_P4_med_rep4.log
4,med,cyclic,default,,5,0.075455,0.020415,3.696056,.924014,0,46817,artifacts/round2-20251028_221232/logs/cyclic_P4_med_rep5.log
4,hard,cyclic,default,,1,0.076410,0.025548,2.990840,.747710,1,60015,artifacts/round2-20251028_221232/logs/cyclic_P4_hard_rep1.log
4,hard,cyclic,default,,2,0.076410,0.019289,3.961325,.990331,1,56968,artifacts/round2-20251028_221232/logs/cyclic_P4_hard_rep2.log
4,hard,cyclic,default,,3,0.076410,0.019156,3.988828,.997207,1,45125,artifacts/round2-20251028_221232/logs/cyclic_P4_hard_rep3.log
4,hard,cyclic,default,,4,0.076410,0.022331,3.421700,.855425,0,54916,artifacts/round2-20251028_221232/logs/cyclic_P4_hard_rep4.log
4,hard,cyclic,default,,5,0.076410,0.025727,2.970031,.742507,1,56682,artifacts/round2-20251028_221232/logs/cyclic_P4_hard_rep5.log
4,easy,adaptive,default,,1,0.071686,0.048375,1.481881,.370470,3,73563,artifacts/round2-20251028_221232/logs/adaptive_P4_easy_rep1.log
4,easy,adaptive,default,,2,0.071686,0.048576,1.475749,.368937,3,72779,artifacts/round2-20251028_221232/logs/adaptive_P4_easy_rep2.log
4,easy,adaptive,default,,3,0.071686,0.025450,2.816738,.704184,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_easy_rep3.log
4,easy,adaptive,default,,4,0.071686,0.043385,1.652322,.413080,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_easy_rep4.log
4,easy,adaptive,default,,5,0.071686,0.041907,1.710597,.427649,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_easy_rep5.log
4,med,adaptive,default,,1,0.075455,0.050445,1.495787,.373946,3,87718,artifacts/round2-20251028_221232/logs/adaptive_P4_med_rep1.log
4,med,adaptive,default,,2,0.075455,0.030468,2.476532,.619133,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_med_rep2.log
4,med,adaptive,default,,3,0.075455,0.046932,1.607751,.401937,3,74882,artifacts/round2-20251028_221232/logs/adaptive_P4_med_rep3.log
4,med,adaptive,default,,4,0.075455,0.049726,1.517415,.379353,3,90702,artifacts/round2-20251028_221232/logs/adaptive_P4_med_rep4.log
4,med,adaptive,default,,5,0.075455,0.049199,1.533669,.383417,3,74279,artifacts/round2-20251028_221232/logs/adaptive_P4_med_rep5.log
4,hard,adaptive,default,,1,0.076410,0.033378,2.289232,.572308,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_hard_rep1.log
4,hard,adaptive,default,,2,0.076410,0.032995,2.315805,.578951,3,57921,artifacts/round2-20251028_221232/logs/adaptive_P4_hard_rep2.log
4,hard,adaptive,default,,3,0.076410,0.051241,1.491188,.372797,3,73577,artifacts/round2-20251028_221232/logs/adaptive_P4_hard_rep3.log
4,hard,adaptive,default,,4,0.076410,0.049932,1.530281,.382570,3,73072,artifacts/round2-20251028_221232/logs/adaptive_P4_hard_rep4.log
4,hard,adaptive,default,,5,0.076410,0.050211,1.521778,.380444,3,88128,artifacts/round2-20251028_221232/logs/adaptive_P4_hard_rep5.log
4,easy,permuted,default,,1,0.071686,0.100207,.715379,.178844,2,204108,artifacts/round2-20251028_221232/logs/permuted_P4_easy_rep1.log
4,easy,permuted,default,,2,0.071686,0.075238,.952789,.238197,2,212300,artifacts/round2-20251028_221232/logs/permuted_P4_easy_rep2.log
4,easy,permuted,default,,3,0.071686,0.076918,.931979,.232994,2,175436,artifacts/round2-20251028_221232/logs/permuted_P4_easy_rep3.log
4,easy,permuted,default,,4,0.071686,0.071072,1.008639,.252159,2,179532,artifacts/round2-20251028_221232/logs/permuted_P4_easy_rep4.log
4,easy,permuted,default,,5,0.071686,0.088516,.809864,.202466,2,216396,artifacts/round2-20251028_221232/logs/permuted_P4_easy_rep5.log
4,med,permuted,default,,1,0.075455,0.069341,1.088172,.272043,2,191820,artifacts/round2-20251028_221232/logs/permuted_P4_med_rep1.log
4,med,permuted,default,,2,0.075455,0.087598,.861378,.215344,2,175436,artifacts/round2-20251028_221232/logs/permuted_P4_med_rep2.log
4,med,permuted,default,,3,0.075455,0.089685,.841333,.210333,2,204108,artifacts/round2-20251028_221232/logs/permuted_P4_med_rep3.log
4,med,permuted,default,,4,0.075455,0.083768,.900761,.225190,2,200012,artifacts/round2-20251028_221232/logs/permuted_P4_med_rep4.log
4,med,permuted,default,,5,0.075455,0.102816,.733883,.183470,2,236876,artifacts/round2-20251028_221232/logs/permuted_P4_med_rep5.log
4,hard,permuted,default,,1,0.076410,0.106138,.719911,.179977,2,228684,artifacts/round2-20251028_221232/logs/permuted_P4_hard_rep1.log
4,hard,permuted,default,,2,0.076410,0.082869,.922057,.230514,2,208204,artifacts/round2-20251028_221232/logs/permuted_P4_hard_rep2.log
4,hard,permuted,default,,3,0.076410,0.090788,.841631,.210407,2,208204,artifacts/round2-20251028_221232/logs/permuted_P4_hard_rep3.log
4,hard,permuted,default,,4,0.076410,0.094232,.810871,.202717,2,191820,artifacts/round2-20251028_221232/logs/permuted_P4_hard_rep4.log
4,hard,permuted,default,,5,0.076410,0.110171,.693558,.173389,2,220492,artifacts/round2-20251028_221232/logs/permuted_P4_hard_rep5.log
